model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w,tokens/s/gpu_cluster
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,20,3.467,1,4,4,20,20,1,7475.51,10.363,12646.647,3.467,0.108,1733.4,54.169,96.498,0.963,3.868,32,1,1,4,1,4,tp1pp1dp4etp1ep4,fp8_block,fp8,bfloat16,fp8_block,half,86.92,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,23.785,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,54.169
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,448,0.83,1,4,4,28,224,2,7475.51,994.961,503961.049,0.83,0.026,414.92,12.966,1.005,0.963,0.451,32,1,1,4,1,4,tp1pp1dp4etp1ep4,fp8_block,fp8,bfloat16,fp8_block,half,86.92,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,1,1,8,1,8,tp1pp1dp8etp1ep8,fp8_block,fp8,bfloat16,fp8_block,half,46.516,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,12.966
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,448,0.828,1,4,4,28,448,1,7475.51,997.015,504985.995,0.828,0.026,414.0,12.938,1.003,0.963,0.9,32,1,1,4,1,4,tp1pp1dp4etp1ep4,fp8_block,fp8,bfloat16,fp8_block,half,86.92,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,1,1,16,1,16,tp1pp1dp16etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,30.391,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,12.938
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,416,0.824,1,4,4,26,104,4,7475.51,932.279,472682.731,0.824,0.026,412.16,12.88,1.073,0.963,0.224,32,1,1,4,1,4,tp1pp1dp4etp1ep4,fp8_block,fp8,bfloat16,fp8_block,half,86.92,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,1,1,4,1,4,tp1pp1dp4etp1ep4,fp8_block,fp8,bfloat16,fp8_block,half,78.725,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,12.88
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,104,0.206,1,4,4,26,26,4,7475.51,924.575,468838.435,0.206,0.006,103.04,3.22,1.082,0.963,0.056,32,1,1,4,1,4,tp1pp1dp4etp1ep4,fp8_block,fp8,bfloat16,fp8_block,half,86.92,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,4,1,1,1,4,tp4pp1dp1etp1ep4,fp8_block,fp8,bfloat16,fp8_block,half,73.581,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,3.22
