model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w,tokens/s/gpu_cluster
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,32,4.991,1,1,1,32,32,1,324.551,10.626,5626.925,4.991,0.156,2495.7,77.991,94.106,5.546,6.035,32,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,26.982,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,24.031,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,77.991
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,22,4.254,1,1,1,22,22,1,324.551,9.536,5083.015,4.254,0.133,2127.04,66.47,104.87,5.546,4.624,32,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,26.982,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,23.826,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,66.47
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,20,4.123,1,1,1,20,20,1,324.551,8.943,4787.108,4.123,0.129,2061.72,64.429,111.816,5.546,4.482,32,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,26.982,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,23.785,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,64.429
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,16,3.807,1,1,1,16,16,1,324.551,7.748,4190.803,3.807,0.119,1903.48,59.484,129.059,5.546,4.138,32,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,26.982,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,23.703,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,59.484
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,11,2.932,1,1,1,11,11,1,324.551,6.916,3775.635,2.932,0.092,1466.02,45.813,144.584,5.546,3.187,32,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,26.982,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,23.6,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,45.813
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,7,2.174,1,1,1,7,7,1,324.551,5.937,3287.114,2.174,0.068,1086.98,33.968,168.424,5.546,2.363,32,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,26.982,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,23.518,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,33.968
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,5,1.862,1,1,1,5,5,1,324.551,4.951,2795.1,1.862,0.058,931.04,29.095,201.964,5.546,2.024,32,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,26.982,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,23.477,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,29.095
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,3,1.42,1,1,1,3,3,1,324.551,3.897,2269.154,1.42,0.044,709.78,22.181,256.627,5.546,1.543,32,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,26.982,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,23.436,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,22.181
