model,isl,osl,prefix,concurrency,request_rate,bs,global_bs,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system,power_w,tokens/s/gpu_cluster
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,512,4.599,512,512,869.67,217.417,109360.969,4.599,0.287,2295.124,143.445,4.599,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,38.43,1.024,1.0,511.0,2559.0,2048,511.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,143.445
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,480,5.756,480,480,688.689,166.748,83896.018,5.756,0.18,2872.275,89.759,5.997,32,32,1,1,1,32,tp32pp1dp1etp1ep32,fp8_block,fp8,bfloat16,fp8_block,half,29.429,0.96,1.0,479.0,2527.0,2048,479.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,89.759
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,56,0.357,7,56,9229.768,290.359,154118.897,0.357,0.045,178.107,22.263,3.444,8,1,1,8,1,8,tp1pp1dp8etp1ep8,fp8_block,fp8,bfloat16,fp8_block,half,54.821,0.014,1.0,6.0,2054.0,2048,6.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,22.263
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,28,0.177,7,28,8621.441,294.427,155540.748,0.177,0.044,88.382,22.095,3.396,4,1,1,4,1,4,tp1pp1dp4etp1ep4,fp8_block,fp8,bfloat16,fp8_block,half,87.071,0.014,1.0,6.0,2054.0,2048,6.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,22.095
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,80,0.68,5,80,9949.693,208.147,113815.217,0.68,0.042,339.274,21.205,4.804,16,1,1,16,1,16,tp1pp1dp16etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,38.646,0.01,1.0,4.0,2052.0,2048,4.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,21.205
