model,isl,osl,prefix,concurrency,request_rate,bs,global_bs,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system,power_w,tokens/s/gpu_cluster
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,512,3.356,512,512,1191.934,297.983,149885.682,3.356,0.21,1674.59,104.662,3.356,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,38.43,1.024,1.0,511.0,2559.0,2048,511.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,104.662
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,256,4.04,256,256,3283.487,122.535,64428.622,4.04,0.126,2016.076,63.002,8.161,32,32,1,1,1,32,tp32pp1dp1etp1ep32,fp8_block,fp8,bfloat16,fp8_block,half,35.702,0.128,4.0,252.0,8444.0,8192,252.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,63.002
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,44,0.186,11,44,9857.17,451.538,235174.529,0.186,0.046,92.745,23.186,2.215,4,1,1,4,1,4,tp1pp1dp4etp1ep4,fp8_block,fp8,bfloat16,fp8_block,half,87.171,0.022,1.0,10.0,2058.0,2048,10.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,23.186
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,72,0.365,9,72,9941.507,371.258,195199.321,0.365,0.046,181.93,22.741,2.694,8,1,1,8,1,8,tp1pp1dp8etp1ep8,fp8_block,fp8,bfloat16,fp8_block,half,54.871,0.018,1.0,8.0,2056.0,2048,8.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,22.741
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,64,0.656,4,64,9777.617,167.636,93428.14,0.656,0.041,327.133,20.446,5.965,16,1,1,16,1,16,tp1pp1dp16etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,38.621,0.008,1.0,3.0,2051.0,2048,3.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,20.446
