model,isl,osl,prefix,concurrency,request_rate,bs,global_bs,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system,power_w,tokens/s/gpu_cluster
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,512,4.365,512,512,1600.988,233.605,118169.966,4.365,0.273,2178.027,136.127,4.281,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,42.219,0.512,2.0,510.0,4606.0,4096,510.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,136.127
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,512,5.471,512,512,2382.669,184.687,94541.334,5.471,0.171,2730.264,85.321,5.415,32,32,1,1,1,32,tp32pp1dp1etp1ep32,fp8_block,fp8,bfloat16,fp8_block,half,41.433,0.256,4.0,508.0,8700.0,8192,508.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,85.321
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,56,0.354,7,56,9288.51,292.493,155242.454,0.354,0.044,176.821,22.103,3.419,8,1,1,8,1,8,tp1pp1dp8etp1ep8,fp8_block,fp8,bfloat16,fp8_block,half,54.821,0.014,1.0,6.0,2054.0,2048,6.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,22.103
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,24,0.172,6,24,8397.897,257.367,136823.842,0.172,0.043,85.77,21.443,3.886,4,1,1,4,1,4,tp1pp1dp4etp1ep4,fp8_block,fp8,bfloat16,fp8_block,half,87.046,0.012,1.0,5.0,2053.0,2048,5.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,21.443
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,64,0.652,4,64,9766.554,168.799,93997.288,0.652,0.041,325.261,20.329,5.924,16,1,1,16,1,16,tp1pp1dp16etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,38.621,0.008,1.0,3.0,2051.0,2048,3.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,20.329
