model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w,tokens/s/gpu_cluster
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,112,4.134,1,1,1,112,112,1,391.865,24.952,12842.913,4.134,0.129,2066.85,64.589,40.077,4.593,8.995,32,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,26.982,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,25.68,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,64.589
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,16,2.277,1,1,1,16,16,1,391.865,12.955,6856.41,2.277,0.071,1138.5,35.578,77.188,4.593,2.475,32,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,26.982,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,23.703,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,35.578
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,11,1.719,1,1,1,11,11,1,391.865,11.803,6281.562,1.719,0.054,859.28,26.853,84.721,4.593,1.868,32,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,26.982,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,23.6,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,26.853
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,7,1.225,1,1,1,7,7,1,391.865,10.541,5651.824,1.225,0.038,612.26,19.133,94.865,4.593,1.331,32,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,26.982,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,23.518,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,19.133
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,6,1.11,1,1,1,6,6,1,391.865,9.962,5362.903,1.11,0.035,555.22,17.351,100.379,4.593,1.207,32,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,26.982,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,23.497,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,17.351
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,4,0.839,1,1,1,4,4,1,391.865,8.79,4778.075,0.839,0.026,419.52,13.11,113.761,4.593,0.912,32,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,26.982,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,23.456,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,13.11
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,2,0.491,1,1,1,2,2,1,391.865,7.505,4136.86,0.491,0.015,245.64,7.676,133.248,4.593,0.534,32,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,26.982,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,23.415,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,7.676
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,1,0.288,1,1,1,1,1,1,391.865,6.412,3591.453,0.288,0.009,143.98,4.499,155.952,4.593,0.313,32,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,26.982,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,23.394,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,4.499
