model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w,tokens/s/gpu_cluster
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,112,4.134,1,1,1,112,112,1,391.865,24.952,12842.913,4.134,0.129,2066.85,64.589,40.077,4.593,8.995,32,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,26.982,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,25.68,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,64.589
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,112,0.743,1,1,1,7,112,1,391.865,277.649,138938.716,0.743,0.023,371.68,11.615,3.602,4.593,0.808,32,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,26.982,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,1,1,16,1,16,tp1pp1dp16etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,29.959,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,11.615
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,112,0.734,1,1,1,7,56,2,391.865,281.457,140838.908,0.734,0.023,367.08,11.471,3.553,4.593,0.399,32,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,26.982,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,1,1,8,1,8,tp1pp1dp8etp1ep8,fp8_block,fp8,bfloat16,fp8_block,half,46.084,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,11.471
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,112,0.714,1,1,1,7,28,4,391.865,289.855,145029.51,0.714,0.022,356.96,11.155,3.45,4.593,0.194,32,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,26.982,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,1,1,4,1,4,tp1pp1dp4etp1ep4,fp8_block,fp8,bfloat16,fp8_block,half,78.334,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,11.155
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,28,0.188,1,1,1,7,7,4,391.865,275.337,137785.028,0.188,0.006,93.84,2.932,3.632,4.593,0.051,32,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,26.982,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,4,1,1,1,4,tp4pp1dp1etp1ep4,fp8_block,fp8,bfloat16,fp8_block,half,73.19,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,2.932
