model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w,tokens/s/gpu_cluster
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,22,3.621,1,1,1,22,22,1,447.399,10.849,5861.05,3.621,0.113,1810.35,56.573,92.176,4.023,4.064,32,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,26.982,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,23.826,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,56.573
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,448,0.832,1,1,1,28,224,2,447.399,994.059,496482.84,0.832,0.026,415.84,12.995,1.006,4.023,0.452,32,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,26.982,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,1,1,8,1,8,tp1pp1dp8etp1ep8,fp8_block,fp8,bfloat16,fp8_block,half,46.516,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,12.995
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,448,0.83,1,1,1,28,448,1,447.399,995.082,496993.317,0.83,0.026,414.92,12.966,1.005,4.023,0.902,32,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,26.982,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,1,1,16,1,16,tp1pp1dp16etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,30.391,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,12.966
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,416,0.824,1,1,1,26,104,4,447.399,931.92,465475.479,0.824,0.026,412.16,12.88,1.073,4.023,0.224,32,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,26.982,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,1,1,4,1,4,tp1pp1dp4etp1ep4,fp8_block,fp8,bfloat16,fp8_block,half,78.725,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,12.88
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,104,0.206,1,1,1,26,26,4,447.399,924.396,461721.003,0.206,0.006,103.04,3.22,1.082,4.023,0.056,32,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,26.982,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,4,1,1,1,4,tp4pp1dp1etp1ep4,fp8_block,fp8,bfloat16,fp8_block,half,73.581,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,3.22
