model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w,tokens/s/gpu_cluster
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,32,4.578,1,1,1,32,32,1,353.844,10.902,5793.942,4.578,0.143,2289.15,71.536,91.722,5.087,5.882,32,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,26.982,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,24.031,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,71.536
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,22,4.17,1,1,1,22,22,1,353.844,9.725,5206.619,4.17,0.13,2085.18,65.162,102.823,5.087,4.533,32,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,26.982,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,23.826,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,65.162
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,18,3.902,1,1,1,18,18,1,353.844,8.506,4598.338,3.902,0.122,1950.86,60.964,117.56,5.087,4.241,32,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,26.982,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,23.744,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,60.964
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,16,3.741,1,1,1,16,16,1,353.844,7.886,4288.958,3.741,0.117,1870.36,58.449,126.799,5.087,4.066,32,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,26.982,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,23.703,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,58.449
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,10,2.697,1,1,1,10,10,1,353.844,6.836,3765.008,2.697,0.084,1348.26,42.133,146.279,5.087,2.931,32,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,26.982,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,23.579,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,42.133
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,7,2.152,1,1,1,7,7,1,353.844,5.998,3346.846,2.152,0.067,1075.94,33.623,166.728,5.087,2.339,32,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,26.982,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,23.518,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,33.623
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,5,1.846,1,1,1,5,5,1,353.844,4.995,2846.349,1.846,0.058,922.76,28.836,200.219,5.087,2.006,32,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,26.982,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,23.477,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,28.836
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,3,1.41,1,1,1,3,3,1,353.844,3.923,2311.421,1.41,0.044,705.18,22.037,254.933,5.087,1.533,32,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,26.982,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,23.436,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,22.037
