model,isl,osl,prefix,concurrency,request_rate,bs,global_bs,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system,power_w,tokens/s/gpu_cluster
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,256,3.472,256,256,1031.048,146.796,74282.202,3.472,0.217,1732.572,108.286,6.812,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,32.696,0.512,1.0,255.0,2303.0,2048,255.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,108.286
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,256,4.232,256,256,3164.423,116.952,61523.325,4.232,0.132,2111.53,65.985,8.551,32,32,1,1,1,32,tp32pp1dp1etp1ep32,fp8_block,fp8,bfloat16,fp8_block,half,35.702,0.128,4.0,252.0,8444.0,8192,252.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,65.985
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,44,0.186,11,44,9818.359,450.236,234485.922,0.186,0.047,93.018,23.255,2.221,4,1,1,4,1,4,tp1pp1dp4etp1ep4,fp8_block,fp8,bfloat16,fp8_block,half,87.171,0.022,1.0,10.0,2058.0,2048,10.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,23.255
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,72,0.366,9,72,9892.271,369.729,194386.959,0.366,0.046,182.693,22.837,2.705,8,1,1,8,1,8,tp1pp1dp8etp1ep8,fp8_block,fp8,bfloat16,fp8_block,half,54.871,0.018,1.0,8.0,2056.0,2048,8.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,22.837
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,80,0.681,5,80,9986.13,207.752,113654.23,0.681,0.043,339.691,21.231,4.813,16,1,1,16,1,16,tp1pp1dp16etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,38.646,0.01,1.0,4.0,2052.0,2048,4.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,21.231
