model,isl,osl,prefix,concurrency,request_rate,bs,global_bs,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system,power_w,tokens/s/gpu_cluster
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,512,3.245,512,512,4108.433,311.227,159410.505,3.245,0.203,1619.463,101.216,3.213,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,49.799,0.256,4.0,508.0,8700.0,8192,508.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,101.216
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,512,3.892,512,512,3454.791,259.478,132934.156,3.892,0.122,1942.114,60.691,3.854,32,32,1,1,1,32,tp32pp1dp1etp1ep32,fp8_block,fp8,bfloat16,fp8_block,half,41.433,0.256,4.0,508.0,8700.0,8192,508.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,60.691
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,44,0.185,11,44,9903.727,454.629,236763.382,0.185,0.046,92.124,23.031,2.2,4,1,1,4,1,4,tp1pp1dp4etp1ep4,fp8_block,fp8,bfloat16,fp8_block,half,87.171,0.022,1.0,10.0,2058.0,2048,10.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,23.031
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,64,0.357,8,64,9712.619,334.517,176636.537,0.357,0.045,178.209,22.276,2.989,8,1,1,8,1,8,tp1pp1dp8etp1ep8,fp8_block,fp8,bfloat16,fp8_block,half,54.846,0.016,1.0,7.0,2055.0,2048,7.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,22.276
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,64,0.647,4,64,9893.973,169.807,94627.719,0.647,0.04,323.0,20.187,5.889,16,1,1,16,1,16,tp1pp1dp16etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,38.621,0.008,1.0,3.0,2051.0,2048,3.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,20.187
