model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w,tokens/s/gpu_cluster
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,28,3.494,1,1,1,28,28,1,463.671,13.94,7419.731,3.494,0.109,1746.9,54.591,71.735,3.882,4.025,32,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,26.982,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,23.949,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,54.591
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,22,3.131,1,1,1,22,22,1,463.671,12.956,6928.715,3.131,0.098,1565.38,48.918,77.186,3.882,3.403,32,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,26.982,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,23.826,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,48.918
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,18,2.856,1,1,1,18,18,1,463.671,11.621,6262.55,2.856,0.089,1427.84,44.62,86.053,3.882,3.104,32,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,26.982,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,23.744,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,44.62
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,16,2.696,1,1,1,16,16,1,463.671,10.943,5924.228,2.696,0.084,1347.8,42.119,91.382,3.882,2.93,32,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,26.982,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,23.703,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,42.119
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,11,2.039,1,1,1,11,11,1,463.671,9.948,5427.723,2.039,0.064,1019.36,31.855,100.522,3.882,2.216,32,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,26.982,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,23.6,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,31.855
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,7,1.471,1,1,1,7,7,1,463.671,8.774,4841.897,1.471,0.046,735.54,22.986,113.977,3.882,1.599,32,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,26.982,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,23.518,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,22.986
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,5,1.214,1,1,1,5,5,1,463.671,7.592,4252.079,1.214,0.038,607.2,18.975,131.71,3.882,1.32,32,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,26.982,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,23.477,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,18.975
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,3,0.881,1,1,1,3,3,1,463.671,6.273,3593.898,0.881,0.028,440.68,13.771,159.412,3.882,0.958,32,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,26.982,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,23.436,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,13.771
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,2,0.665,1,1,1,2,2,1,463.671,5.541,3228.63,0.665,0.021,332.58,10.393,180.483,3.882,0.723,32,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,26.982,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,23.415,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,10.393
