model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w,tokens/s/gpu_cluster
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,28,3.494,1,1,1,28,28,1,463.671,13.94,7419.731,3.494,0.109,1746.9,54.591,71.735,3.882,4.025,32,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,26.982,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,23.949,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,54.591
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,448,0.83,1,1,1,28,224,2,463.671,995.461,497198.71,0.83,0.026,414.92,12.966,1.005,3.882,0.451,32,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,26.982,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,1,1,8,1,8,tp1pp1dp8etp1ep8,fp8_block,fp8,bfloat16,fp8_block,half,46.516,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,12.966
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,448,0.829,1,1,1,28,448,1,463.671,996.777,497855.394,0.829,0.026,414.46,12.952,1.003,3.882,0.901,32,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,26.982,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,1,1,16,1,16,tp1pp1dp16etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,30.391,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,12.952
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,416,0.821,1,1,1,26,104,4,463.671,933.103,466082.068,0.821,0.026,410.32,12.822,1.072,3.882,0.223,32,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,26.982,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,1,1,4,1,4,tp1pp1dp4etp1ep4,fp8_block,fp8,bfloat16,fp8_block,half,78.725,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,12.822
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,104,0.206,1,1,1,26,26,4,463.671,925.838,462456.833,0.206,0.006,103.04,3.22,1.08,3.882,0.056,32,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,26.982,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,4,1,1,1,4,tp4pp1dp1etp1ep4,fp8_block,fp8,bfloat16,fp8_block,half,73.581,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,3.22
