model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w,tokens/s/gpu_cluster
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,92,3.456,1,4,4,92,92,1,7498.748,24.996,19971.752,3.456,0.108,1728.0,54.0,40.006,0.96,7.376,32,1,1,4,1,4,tp1pp1dp4etp1ep4,fp8_block,fp8,bfloat16,fp8_block,half,86.92,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,25.264,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,54.0
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,448,0.826,1,4,4,28,224,2,7498.748,998.675,505837.573,0.826,0.026,413.08,12.909,1.001,0.96,0.449,32,1,1,4,1,4,tp1pp1dp4etp1ep4,fp8_block,fp8,bfloat16,fp8_block,half,86.92,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,1,1,8,1,8,tp1pp1dp8etp1ep8,fp8_block,fp8,bfloat16,fp8_block,half,46.516,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,12.909
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,416,0.823,1,4,4,26,416,1,7498.748,930.953,472044.295,0.823,0.026,411.7,12.866,1.074,0.96,0.895,32,1,1,4,1,4,tp1pp1dp4etp1ep4,fp8_block,fp8,bfloat16,fp8_block,half,86.92,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,1,1,16,1,16,tp1pp1dp16etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,30.35,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,12.866
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,416,0.821,1,4,4,26,104,4,7498.748,934.485,473806.763,0.821,0.026,410.32,12.822,1.07,0.96,0.223,32,1,1,4,1,4,tp1pp1dp4etp1ep4,fp8_block,fp8,bfloat16,fp8_block,half,86.92,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,1,1,4,1,4,tp1pp1dp4etp1ep4,fp8_block,fp8,bfloat16,fp8_block,half,78.725,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,12.822
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,112,0.206,1,4,4,28,28,4,7498.748,997.454,505228.294,0.206,0.006,103.04,3.22,1.003,0.96,0.056,32,1,1,4,1,4,tp1pp1dp4etp1ep4,fp8_block,fp8,bfloat16,fp8_block,half,86.92,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,4,1,1,1,4,tp4pp1dp1etp1ep4,fp8_block,fp8,bfloat16,fp8_block,half,73.622,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,3.22
