framework,version,device,op_name,kernel_source,moe_dtype,num_tokens,hidden_size,inter_size,topk,num_experts,moe_tp_size,moe_ep_size,distribution,latency
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,bfloat16,12288,4096,2048,6,256,1,1,balanced,19.374868164062498
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,fp8_block,1,4096,2048,6,256,1,1,balanced,0.12933568000793455
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,fp8_block,2,4096,2048,6,256,1,1,balanced,0.2889094352722168
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,fp8_block,4,4096,2048,6,256,1,1,balanced,0.495978889465332
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,bfloat16,16384,4096,2048,6,256,1,1,balanced,25.621376953125
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,fp8_block,8,4096,2048,6,256,1,1,balanced,0.8458892822265625
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,fp8_block,32,4096,2048,6,256,1,1,balanced,3.228834533691406
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,fp8_block,16,4096,2048,6,256,1,1,balanced,1.6552050781249998
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,fp8_block,48,4096,2048,6,256,1,1,balanced,4.311690979003906
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,fp8_block,64,4096,2048,6,256,1,1,balanced,4.318134460449219
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,fp8_block,80,4096,2048,6,256,1,1,balanced,4.325038146972656
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,fp8_block,96,4096,2048,6,256,1,1,balanced,4.331786193847656
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,fp8_block,128,4096,2048,6,256,1,1,balanced,4.343496398925781
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,fp8_block,160,4096,2048,6,256,1,1,balanced,4.355592956542969
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,fp8_block,192,4096,2048,6,256,1,1,balanced,4.364606018066406
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,fp8_block,256,4096,2048,6,256,1,1,balanced,4.384579162597656
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,fp8_block,320,4096,2048,6,256,1,1,balanced,4.3993093872070315
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,fp8_block,384,4096,2048,6,256,1,1,balanced,4.418000488281249
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,fp8_block,512,4096,2048,6,256,1,1,balanced,4.4517797851562495
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,fp8_block,768,4096,2048,6,256,1,1,balanced,4.515934753417969
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,fp8_block,1024,4096,2048,6,256,1,1,balanced,4.575938415527344
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,fp8_block,1536,4096,2048,6,256,1,1,balanced,4.691241455078125
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,fp8_block,2048,4096,2048,6,256,1,1,balanced,4.790315551757812
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,fp8_block,3072,4096,2048,6,256,1,1,balanced,5.024722595214844
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,fp8_block,4096,4096,2048,6,256,1,1,balanced,5.254583129882812
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,fp8_block,6144,4096,2048,6,256,1,1,balanced,5.921500244140625
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,fp8_block,8192,4096,2048,6,256,1,1,balanced,6.386431884765625
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,fp8_block,12288,4096,2048,6,256,1,1,balanced,9.639503784179688
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_marlin_moe,int4_wo,1,4096,2048,6,256,1,1,balanced,0.03671168088912964
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_marlin_moe,int4_wo,2,4096,2048,6,256,1,1,balanced,0.12248703956604004
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_marlin_moe,int4_wo,4,4096,2048,6,256,1,1,balanced,0.22587072372436526
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_marlin_moe,int4_wo,8,4096,2048,6,256,1,1,balanced,0.43636737823486327
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_marlin_moe,int4_wo,16,4096,2048,6,256,1,1,balanced,0.8478221130371093
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_fused_moe_triton,fp8_block,16384,4096,2048,6,256,1,1,balanced,12.00736083984375
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_marlin_moe,int4_wo,32,4096,2048,6,256,1,1,balanced,1.6619488525390627
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_marlin_moe,int4_wo,48,4096,2048,6,256,1,1,balanced,2.219360046386719
SGLang,0.5.10.post2.dev1338+g385a8d4ed,NVIDIA RTX PRO 6000 Blackwell Server Edition,moe,sglang_marlin_moe,int4_wo,64,4096,2048,6,256,1,1,balanced,2.230161895751953
