model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w,tokens/s/gpu_cluster
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,7,0.048,1,1,1,7,7,1,6959.047,271.368,142371.679,0.048,0.003,23.92,1.495,3.685,0.259,0.052,16,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8_block,fp8,bfloat16,fp8_block,half,43.538,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8_block,fp8,bfloat16,fp8_block,half,40.019,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,1.495
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,6,0.047,1,1,1,6,6,1,6959.047,236.147,124796.4,0.047,0.003,23.46,1.466,4.235,0.259,0.051,16,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8_block,fp8,bfloat16,fp8_block,half,43.538,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8_block,fp8,bfloat16,fp8_block,half,39.999,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,1.466
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,5,0.046,1,1,1,5,5,1,6959.047,200.911,107213.636,0.046,0.003,23.0,1.438,4.977,0.259,0.05,16,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8_block,fp8,bfloat16,fp8_block,half,43.538,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8_block,fp8,bfloat16,fp8_block,half,39.978,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,1.438
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,4,0.044,1,1,1,4,4,1,6959.047,165.676,89631.371,0.044,0.003,22.08,1.38,6.036,0.259,0.048,16,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8_block,fp8,bfloat16,fp8_block,half,43.538,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8_block,fp8,bfloat16,fp8_block,half,39.958,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,1.38
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,3,0.042,1,1,1,3,3,1,6959.047,131.511,72583.036,0.042,0.003,21.16,1.322,7.604,0.259,0.046,16,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8_block,fp8,bfloat16,fp8_block,half,43.538,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8_block,fp8,bfloat16,fp8_block,half,39.937,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,1.322
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,2,0.038,1,1,1,2,2,1,6959.047,97.415,55569.132,0.038,0.002,18.86,1.179,10.265,0.259,0.041,16,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8_block,fp8,bfloat16,fp8_block,half,43.538,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8_block,fp8,bfloat16,fp8_block,half,39.917,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,1.179
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,1,0.034,1,1,1,1,1,1,6959.047,53.802,33806.245,0.034,0.002,17.02,1.064,18.587,0.259,0.037,16,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8_block,fp8,bfloat16,fp8_block,half,43.538,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8_block,fp8,bfloat16,fp8_block,half,39.896,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,1.064
