model,isl,osl,prefix,concurrency,request_rate,bs,global_bs,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system,power_w,tokens/s/gpu_cluster
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,128,4.445,128,128,701.459,56.882,29085.654,4.445,0.278,2218.045,138.628,17.58,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,29.828,0.256,1.0,127.0,2175.0,2048,127.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,138.628
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,128,4.406,128,128,1350.402,56.41,29499.125,4.406,0.275,2198.79,137.424,17.727,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,33.618,0.128,2.0,126.0,4222.0,4096,126.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,137.424
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,112,4.375,112,112,696.015,50.458,25874.626,4.375,0.273,2183.15,136.447,19.818,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,29.47,0.224,1.0,111.0,2159.0,2048,111.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,136.447
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,112,4.34,112,112,1343.742,49.895,26241.427,4.34,0.271,2165.723,135.358,20.042,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,33.26,0.112,2.0,110.0,4206.0,4096,110.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,135.358
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,96,4.285,96,96,690.571,44.035,22664.09,4.285,0.268,2138.249,133.641,22.709,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,29.112,0.192,1.0,95.0,2143.0,2048,95.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,133.641
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,96,4.254,96,96,1337.081,43.389,22988.322,4.254,0.266,2122.72,132.67,23.047,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,32.901,0.096,2.0,94.0,4190.0,4096,94.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,132.67
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,96,4.169,96,96,2053.353,42.267,23144.344,4.169,0.261,2080.417,130.026,23.659,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,40.48,0.048,4.0,92.0,8284.0,8192,92.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,130.026
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,80,4.148,80,80,685.127,37.768,19531.54,4.148,0.259,2070.032,129.377,26.477,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,28.753,0.16,1.0,79.0,2127.0,2048,79.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,129.377
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,80,4.12,80,80,1280.53,37.063,19774.86,4.12,0.257,2055.822,128.489,26.981,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,32.543,0.08,2.0,78.0,4174.0,4096,78.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,128.489
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,80,4.038,80,80,1913.874,35.806,19781.205,4.038,0.252,2015.111,125.944,27.928,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,40.122,0.04,4.0,76.0,8268.0,8192,76.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,125.944
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,64,3.965,64,64,679.684,31.448,16372.308,3.965,0.248,1978.749,123.672,31.798,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,28.395,0.128,1.0,63.0,2111.0,2048,63.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,123.672
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,64,3.941,64,64,1141.744,30.681,16451.315,3.941,0.246,1966.378,122.899,32.594,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,32.184,0.064,2.0,62.0,4158.0,4096,62.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,122.899
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,64,3.864,64,64,1775.073,29.28,16385.678,3.864,0.242,1928.32,120.52,34.153,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,39.764,0.032,4.0,60.0,8252.0,8192,60.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,120.52
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,56,3.835,56,56,676.962,28.357,14827.304,3.835,0.24,1913.796,119.612,35.264,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,28.216,0.112,1.0,55.0,2103.0,2048,55.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,119.612
