model,isl,osl,prefix,concurrency,request_rate,bs,global_bs,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system,power_w,tokens/s/gpu_cluster
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,512,4.817,512,512,830.436,207.609,104427.337,4.817,0.301,2403.556,150.222,4.817,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,38.43,1.024,1.0,511.0,2559.0,2048,511.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,150.222
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,256,6.137,256,256,579.344,83.061,42026.759,6.137,0.192,3062.245,95.695,12.039,32,32,1,1,1,32,tp32pp1dp1etp1ep32,fp8_block,fp8,bfloat16,fp8_block,half,24.414,0.512,1.0,255.0,2303.0,2048,255.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,95.695
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,56,0.359,7,56,9182.717,288.908,153347.614,0.359,0.045,179.003,22.375,3.461,8,1,1,8,1,8,tp1pp1dp8etp1ep8,fp8_block,fp8,bfloat16,fp8_block,half,54.821,0.014,1.0,6.0,2054.0,2048,6.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,22.375
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,28,0.178,7,28,8585.931,293.269,154927.373,0.178,0.044,88.732,22.183,3.41,4,1,1,4,1,4,tp1pp1dp4etp1ep4,fp8_block,fp8,bfloat16,fp8_block,half,87.071,0.014,1.0,6.0,2054.0,2048,6.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,22.183
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,80,0.685,5,80,9855.525,206.597,112947.2,0.685,0.043,341.904,21.369,4.84,16,1,1,16,1,16,tp1pp1dp16etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,38.646,0.01,1.0,4.0,2052.0,2048,4.0,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,21.369
