framework,version,device,op_name,kernel_source,nccl_dtype,num_gpus,message_size,latency
TRTLLM,2.27.7,NVIDIA GB300,alltoall,NCCL,half,2,67108864,0.1222
TRTLLM,2.27.7,NVIDIA GB300,alltoall,NCCL,half,2,134217728,0.2155
TRTLLM,2.27.7,NVIDIA GB300,alltoall,NCCL,half,2,268435456,0.4034
TRTLLM,2.27.7,NVIDIA GB300,alltoall,NCCL,int8,2,512,0.005
TRTLLM,2.27.7,NVIDIA GB300,alltoall,NCCL,int8,2,1024,0.00954
TRTLLM,2.27.7,NVIDIA GB300,alltoall,NCCL,int8,2,2048,0.00956
TRTLLM,2.27.7,NVIDIA GB300,alltoall,NCCL,int8,2,4096,0.00959
TRTLLM,2.27.7,NVIDIA GB300,alltoall,NCCL,int8,2,8192,0.00963
TRTLLM,2.27.7,NVIDIA GB300,alltoall,NCCL,int8,2,16384,0.0101199999999999
TRTLLM,2.27.7,NVIDIA GB300,alltoall,NCCL,int8,2,32768,0.01064
TRTLLM,2.27.7,NVIDIA GB300,alltoall,NCCL,int8,2,65536,0.01146
TRTLLM,2.27.7,NVIDIA GB300,alltoall,NCCL,int8,2,131072,0.01136
TRTLLM,2.27.7,NVIDIA GB300,alltoall,NCCL,int8,2,262144,0.01159
TRTLLM,2.27.7,NVIDIA GB300,alltoall,NCCL,int8,2,524288,0.01179
TRTLLM,2.27.7,NVIDIA GB300,alltoall,NCCL,int8,2,1048576,0.012850000000000002
TRTLLM,2.27.7,NVIDIA GB300,alltoall,NCCL,int8,2,2097152,0.015470000000000001
TRTLLM,2.27.7,NVIDIA GB300,alltoall,NCCL,int8,2,4194304,0.01859
TRTLLM,2.27.7,NVIDIA GB300,alltoall,NCCL,int8,2,8388608,0.02091
TRTLLM,2.27.7,NVIDIA GB300,alltoall,NCCL,int8,2,16777216,0.0290799999999999
TRTLLM,2.27.7,NVIDIA GB300,alltoall,NCCL,int8,2,33554432,0.04766
TRTLLM,2.27.7,NVIDIA GB300,alltoall,NCCL,int8,2,67108864,0.06116
TRTLLM,2.27.7,NVIDIA GB300,alltoall,NCCL,int8,2,134217728,0.1222
TRTLLM,2.27.7,NVIDIA GB300,alltoall,NCCL,int8,2,268435456,0.2153
TRTLLM,2.27.7,NVIDIA GB300,alltoall,NCCL,int8,2,536870912,0.4036
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,half,2,256,0.005
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,half,2,512,0.00918
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,half,2,1024,0.00917
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,half,2,2048,0.00924
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,half,2,4096,0.00937
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,half,2,8192,0.00939
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,half,2,16384,0.0096899999999999
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,half,2,32768,0.00983
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,half,2,65536,0.0099
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,half,2,131072,0.0100399999999999
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,half,2,262144,0.01014
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,half,2,524288,0.01073
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,half,2,1048576,0.01194
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,half,2,2097152,0.014879999999999999
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,half,2,4194304,0.02155
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,half,2,8388608,0.02762
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,half,2,16777216,0.03671
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,half,2,33554432,0.0540799999999999
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,half,2,67108864,0.09819
