model,isl,osl,prefix,concurrency,request_rate,bs,global_bs,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system,power_w,tokens/s/gpu_cluster
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,512,4.425,512,512,904.034,226.009,113682.299,4.425,0.277,2207.881,137.993,4.425,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,38.43,1.024,1.0,511.0,2559.0,2048,511.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,137.993
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,256,5.49,256,256,648.11,92.85,46980.347,5.49,0.172,2739.37,85.605,10.77,32,32,1,1,1,32,tp32pp1dp1etp1ep32,fp8_block,fp8,bfloat16,fp8_block,half,24.414,0.512,1.0,255.0,2303.0,2048,255.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,85.605
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,56,0.358,7,56,9304.587,289.561,153795.331,0.358,0.045,178.442,22.305,3.454,8,1,1,8,1,8,tp1pp1dp8etp1ep8,fp8_block,fp8,bfloat16,fp8_block,half,54.821,0.014,1.0,6.0,2054.0,2048,6.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,22.305
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,28,0.178,7,28,8638.161,293.549,155119.251,0.178,0.044,88.614,22.153,3.407,4,1,1,4,1,4,tp1pp1dp4etp1ep4,fp8_block,fp8,bfloat16,fp8_block,half,87.071,0.014,1.0,6.0,2054.0,2048,6.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,22.153
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,64,0.662,4,64,9801.304,165.654,92462.589,0.662,0.041,330.35,20.647,6.037,16,1,1,16,1,16,tp1pp1dp16etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,38.621,0.008,1.0,3.0,2051.0,2048,3.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,20.647
