model,isl,osl,prefix,concurrency,request_rate,bs,global_bs,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system,power_w,tokens/s/gpu_cluster
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,128,4.104,128,128,764.308,61.6,31502.479,4.104,0.257,2047.954,127.997,16.234,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,29.828,0.256,1.0,127.0,2175.0,2048,127.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,127.997
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,128,4.07,128,128,1472.401,61.051,31936.87,4.07,0.254,2031.121,126.945,16.38,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,33.618,0.128,2.0,126.0,4222.0,4096,126.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,126.945
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,112,4.044,112,112,758.402,54.577,27992.555,4.044,0.253,2018.069,126.129,18.323,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,29.47,0.224,1.0,111.0,2159.0,2048,111.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,126.129
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,112,4.014,112,112,1465.278,53.935,28378.797,4.014,0.251,2002.823,125.176,18.541,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,33.26,0.112,2.0,110.0,4206.0,4096,110.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,125.176
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,96,3.967,96,96,752.495,47.556,24482.727,3.967,0.248,1979.546,123.722,21.028,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,29.112,0.192,1.0,95.0,2143.0,2048,95.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,123.722
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,96,3.94,96,96,1458.156,46.828,24825.119,3.94,0.246,1965.944,122.871,21.355,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,32.901,0.096,2.0,94.0,4190.0,4096,94.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,122.871
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,96,3.867,96,96,2235.876,45.53,24955.282,3.867,0.242,1929.468,120.592,21.964,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,40.48,0.048,4.0,92.0,8284.0,8192,92.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,120.592
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,80,3.849,80,80,746.589,40.689,21050.493,3.849,0.241,1920.85,120.053,24.577,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,28.753,0.16,1.0,79.0,2127.0,2048,79.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,120.053
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,80,3.824,80,80,1396.619,39.899,21306.364,3.824,0.239,1908.384,119.274,25.063,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,32.543,0.08,2.0,78.0,4174.0,4096,78.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,119.274
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,80,3.754,80,80,2084.099,38.467,21278.995,3.754,0.235,1873.145,117.072,25.996,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,40.122,0.04,4.0,76.0,8268.0,8192,76.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,117.072
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,64,3.691,64,64,740.683,33.769,17591.181,3.691,0.231,1841.915,115.12,29.613,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,28.395,0.128,1.0,63.0,2111.0,2048,63.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,115.12
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,64,3.669,64,64,1245.373,32.915,17669.854,3.669,0.229,1831.026,114.439,30.381,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,32.184,0.064,2.0,62.0,4158.0,4096,62.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,114.439
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,64,3.603,64,64,1933.046,31.337,17570.268,3.603,0.225,1797.904,112.369,31.911,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,39.764,0.032,4.0,60.0,8252.0,8192,60.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,112.369
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,56,3.578,56,56,737.73,30.377,15895.989,3.578,0.224,1785.468,111.592,32.919,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,28.216,0.112,1.0,55.0,2103.0,2048,55.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,111.592
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,56,3.558,56,56,1170.284,29.498,15889.704,3.558,0.222,1775.272,110.955,33.901,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,32.005,0.056,2.0,54.0,4150.0,4096,54.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,110.955
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,56,3.494,56,56,1857.792,27.847,15753.56,3.494,0.218,1743.698,108.981,35.91,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,39.584,0.028,4.0,52.0,8244.0,8192,52.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,108.981
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,48,3.437,48,48,734.777,26.994,14204.956,3.437,0.215,1714.866,107.179,37.045,16,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,28.036,0.096,1.0,47.0,2095.0,2048,47.0,sglang,0.5.10.post2,rtx_pro_6000_scaleout_8x4,0.0,107.179
